# q1, q2, q3, alfa1, beta1, alfa2, beta2, vol, fibstretch 
  9.95077451e-01,  7.65709466e-01,  1.04131286e+00,  7.15481783e-01,  4.90788836e+00,  5.07969186e-03,  4.23785732e+01,  1.14651794e+02,  1.15941389e+00
  1.00542128e+00,  1.08014630e+00,  1.26701244e+00,  8.32620162e-01,  4.88894422e+00,  5.08754022e-03,  4.37532548e+01,  1.12727462e+02,  1.15395292e+00
  8.74031334e-01,  7.86239436e-01,  7.85787646e-01,  4.13816197e-01,  4.87187013e+00,  4.95939626e-03,  3.90350821e+01,  1.22518454e+02,  1.17493748e+00
  8.74220815e-01,  9.72914339e-01,  7.13805182e-01,  4.19909499e-01,  4.81652150e+00,  5.28649438e-03,  3.87591341e+01,  1.22612155e+02,  1.17435646e+00
  8.60782879e-01,  9.87369402e-01,  7.94490447e-01,  4.08281926e-01,  4.83663326e+00,  5.14369726e-03,  3.88003461e+01,  1.22918994e+02,  1.17496349e+00
  7.11738264e-01,  1.28914865e+00,  8.27869241e-01,  2.22064929e-01,  4.82581405e+00,  4.51760864e-03,  3.65146841e+01,  1.32825175e+02,  1.19099708e+00
  7.04366372e-01,  1.10947873e+00,  7.55700743e-01,  1.98972952e-01,  4.83823994e+00,  4.45990135e-03,  3.57771052e+01,  1.34625852e+02,  1.19576044e+00
  1.01618624e+00,  8.00231498e-01,  8.52700869e-01,  7.40694950e-01,  4.86049219e+00,  5.38205107e-03,  4.22280132e+01,  1.14359061e+02,  1.15846739e+00
  9.33267876e-01,  7.25284655e-01,  1.00082328e+00,  5.55023157e-01,  4.92291359e+00,  4.81410986e-03,  4.10813717e+01,  1.18034137e+02,  1.16635899e+00
  1.25797618e+00,  8.21111715e-01,  8.84905373e-01,  1.64436803e+00,  4.83663126e+00,  5.91709327e-03,  4.73636950e+01,  1.04604394e+02,  1.13786260e+00
  9.61245464e-01,  9.39453303e-01,  1.26311916e+00,  6.94030913e-01,  4.92680384e+00,  4.67762879e-03,  4.30772086e+01,  1.14982886e+02,  1.15879668e+00
  1.07659093e+00,  1.04678167e+00,  7.18299804e-01,  9.17208190e-01,  4.79064306e+00,  5.82943385e-03,  4.32890577e+01,  1.11771158e+02,  1.15217861e+00
  1.14578189e+00,  8.37589157e-01,  1.12708331e+00,  1.23077890e+00,  4.87852433e+00,  5.61751441e-03,  4.54622557e+01,  1.07911472e+02,  1.14530995e+00
  7.25874535e-01,  9.66605073e-01,  9.35135474e-01,  2.30167540e-01,  4.92315615e+00,  3.85118541e-03,  3.77080280e+01,  1.31397185e+02,  1.18943485e+00
  1.20732868e+00,  8.87225923e-01,  9.26575003e-01,  1.43486371e+00,  4.83447502e+00,  5.90309263e-03,  4.63285801e+01,  1.06174613e+02,  1.14120445e+00
  8.82627424e-01,  1.04878140e+00,  1.00145746e+00,  4.83905571e-01,  4.87177019e+00,  4.91645474e-03,  4.03278360e+01,  1.20210849e+02,  1.16907640e+00
  8.06758874e-01,  7.43015082e-01,  8.75364926e-01,  3.12736352e-01,  4.92359932e+00,  4.38129867e-03,  3.82336644e+01,  1.26471050e+02,  1.18269575e+00
  9.84905667e-01,  1.04064061e+00,  8.14987843e-01,  6.78027342e-01,  4.81376853e+00,  5.62158215e-03,  4.14236902e+01,  1.15719520e+02,  1.16055334e+00
  9.73721721e-01,  1.03530734e+00,  1.12001244e+00,  7.09056415e-01,  4.87730330e+00,  5.15238386e-03,  4.24539838e+01,  1.14874958e+02,  1.15869341e+00
  9.41262287e-01,  9.63404032e-01,  8.18334128e-01,  5.68235443e-01,  4.83384297e+00,  5.38868720e-03,  4.05328850e+01,  1.18096948e+02,  1.16556944e+00
  1.22806058e+00,  1.04020913e+00,  7.73140574e-01,  1.50444824e+00,  4.79350330e+00,  6.09377394e-03,  4.65915375e+01,  1.05678067e+02,  1.13958066e+00
  1.03246939e+00,  1.20385991e+00,  7.75432500e-01,  8.13328454e-01,  4.77523935e+00,  5.96426459e-03,  4.23004418e+01,  1.13394593e+02,  1.15536324e+00
  8.03793094e-01,  1.12354787e+00,  8.76112560e-01,  3.36747657e-01,  4.84547042e+00,  4.83375103e-03,  3.82530716e+01,  1.25829122e+02,  1.17953940e+00
  8.85590447e-01,  8.37871250e-01,  9.54411809e-01,  4.62645543e-01,  4.90133966e+00,  4.78020743e-03,  4.00610670e+01,  1.20715441e+02,  1.17113573e+00
  7.51619662e-01,  1.13310151e+00,  8.73905869e-01,  2.65217573e-01,  4.85842940e+00,  4.48090876e-03,  3.74650986e+01,  1.29571304e+02,  1.18600677e+00
  7.47773726e-01,  1.19260878e+00,  7.65008261e-01,  2.52638806e-01,  4.81238104e+00,  4.86341513e-03,  3.65272606e+01,  1.30746874e+02,  1.18857909e+00
  8.63740957e-01,  1.28721459e+00,  8.05489255e-01,  4.37509656e-01,  4.78405594e+00,  5.53796404e-03,  3.88593616e+01,  1.22168791e+02,  1.17243030e+00
  7.50102171e-01,  8.91133163e-01,  8.77028432e-01,  2.48578472e-01,  4.91080966e+00,  4.15008801e-03,  3.74469386e+01,  1.30230516e+02,  1.18854731e+00
  8.75847867e-01,  1.28706672e+00,  1.11322551e+00,  5.10027566e-01,  4.85576336e+00,  4.90209870e-03,  4.09979924e+01,  1.19526666e+02,  1.16613856e+00
  1.28579244e+00,  1.12239761e+00,  9.85502170e-01,  1.86060435e+00,  4.79714458e+00,  6.34056958e-03,  4.78719585e+01,  1.03247253e+02,  1.13465213e+00
  1.22781080e+00,  8.67904058e-01,  1.11938530e+00,  1.58050104e+00,  4.85878993e+00,  5.88868842e-03,  4.69999065e+01,  1.05027141e+02,  1.13910053e+00
  1.04044173e+00,  8.76525047e-01,  7.52283153e-01,  7.97772264e-01,  4.82659411e+00,  5.55173041e-03,  4.25908758e+01,  1.13488938e+02,  1.15618319e+00
  1.24092036e+00,  1.16101503e+00,  1.25101151e+00,  1.73861082e+00,  4.82662883e+00,  6.16890538e-03,  4.75352888e+01,  1.03978946e+02,  1.13630216e+00
  9.98902196e-01,  9.70260076e-01,  8.03181006e-01,  7.04396681e-01,  4.82242253e+00,  5.57386168e-03,  4.17159741e+01,  1.15167844e+02,  1.15958563e+00
  7.03235778e-01,  1.11786664e+00,  1.06980639e+00,  2.25822153e-01,  4.94644824e+00,  3.33383665e-03,  3.90729462e+01,  1.31516156e+02,  1.18653840e+00
  7.98936415e-01,  1.27811669e+00,  7.82467411e-01,  3.27979722e-01,  4.79043945e+00,  5.25069912e-03,  3.75206211e+01,  1.26621028e+02,  1.18075936e+00
  1.01045761e+00,  8.15618681e-01,  9.93918476e-01,  7.53991051e-01,  4.88554221e+00,  5.26008039e-03,  4.25009178e+01,  1.14036454e+02,  1.15797764e+00
  7.40902730e-01,  1.05958430e+00,  9.16824197e-01,  2.51855493e-01,  4.89101215e+00,  4.16005661e-03,  3.77090159e+01,  1.30167055e+02,  1.18701429e+00
  1.18019184e+00,  9.62786649e-01,  1.15811960e+00,  1.39921533e+00,  4.85566136e+00,  5.83726784e-03,  4.61921704e+01,  1.06434333e+02,  1.14190504e+00
  1.16852437e+00,  8.90102577e-01,  7.73298152e-01,  1.23549983e+00,  4.81977661e+00,  5.80341755e-03,  4.54183730e+01,  1.07977230e+02,  1.14466661e+00
  1.07079600e+00,  8.56246766e-01,  8.44264834e-01,  9.04482877e-01,  4.84215748e+00,  5.58563699e-03,  4.33737076e+01,  1.11807328e+02,  1.15299053e+00
  1.15492214e+00,  9.05876180e-01,  1.02528720e+00,  1.24944019e+00,  4.85035981e+00,  5.78717386e-03,  4.54047058e+01,  1.07783325e+02,  1.14476521e+00
  9.36885333e-01,  9.98708248e-01,  1.14609833e+00,  6.19572605e-01,  4.89889127e+00,  4.85353166e-03,  4.20324178e+01,  1.16614772e+02,  1.16204115e+00
  1.02171203e+00,  7.74516594e-01,  8.37951696e-01,  7.49941141e-01,  4.86182463e+00,  5.37158962e-03,  4.23228860e+01,  1.14190397e+02,  1.15814188e+00
  1.20251714e+00,  1.03571859e+00,  1.00370994e+00,  1.45875777e+00,  4.82031896e+00,  6.06239425e-03,  4.62820230e+01,  1.05999638e+02,  1.14069040e+00
  1.08979888e+00,  9.56206808e-01,  1.07969644e+00,  1.03407535e+00,  4.86034183e+00,  5.61025747e-03,  4.42926163e+01,  1.10067308e+02,  1.14944971e+00
  1.07294102e+00,  1.23886626e+00,  7.65922553e-01,  9.36106915e-01,  4.76626996e+00,  6.08692512e-03,  4.31516147e+01,  1.11572168e+02,  1.15153518e+00
  1.11473488e+00,  1.10280160e+00,  1.16151287e+00,  1.16488163e+00,  4.84410275e+00,  5.77660919e-03,  4.50268719e+01,  1.08637122e+02,  1.14608766e+00
  1.21567060e+00,  7.95030293e-01,  1.20708328e+00,  1.53881364e+00,  4.88462201e+00,  5.72688951e-03,  4.69460891e+01,  1.05300298e+02,  1.13994060e+00
  9.32591914e-01,  1.04643471e+00,  7.36709485e-01,  5.43380622e-01,  4.80205014e+00,  5.53871788e-03,  4.00873254e+01,  1.18880932e+02,  1.16676487e+00
  1.05347403e+00,  9.82658732e-01,  1.01384103e+00,  9.04352255e-01,  4.85087052e+00,  5.58623455e-03,  4.33977296e+01,  1.11781057e+02,  1.15287228e+00
  1.16362262e+00,  7.23054421e-01,  7.31653391e-01,  1.18580239e+00,  4.84440702e+00,  5.57248839e-03,  4.53960905e+01,  1.08429313e+02,  1.14577343e+00
  7.14309193e-01,  7.11982680e-01,  1.08696575e+00,  2.13240386e-01,  5.03984319e+00,  2.94534049e-03,  3.91194351e+01,  1.31703263e+02,  1.19008051e+00
  1.08031241e+00,  9.58777452e-01,  1.14361535e+00,  1.01858921e+00,  4.87218985e+00,  5.50358418e-03,  4.43443172e+01,  1.10225726e+02,  1.14975140e+00
  7.17919532e-01,  1.00288988e+00,  9.78878502e-01,  2.27280352e-01,  4.93338091e+00,  3.67060748e-03,  3.80933128e+01,  1.31520924e+02,  1.18881986e+00
  8.96642078e-01,  1.23098570e+00,  9.08925974e-01,  5.12677295e-01,  4.81354043e+00,  5.42020964e-03,  4.00219361e+01,  1.19661216e+02,  1.16764230e+00
  1.01230780e+00,  1.21756743e+00,  7.94771165e-01,  7.62687306e-01,  4.77761103e+00,  5.93356451e-03,  4.18978506e+01,  1.14248742e+02,  1.15710603e+00
  1.16385511e+00,  1.12390946e+00,  8.53193155e-01,  1.26705457e+00,  4.79128210e+00,  6.10677694e-03,  4.52572763e+01,  1.07721335e+02,  1.14391782e+00
  1.17338597e+00,  8.35321482e-01,  9.47578222e-01,  1.29100196e+00,  4.84930833e+00,  5.77053421e-03,  4.56685241e+01,  1.07396430e+02,  1.14395284e+00
  1.04095772e+00,  8.49763138e-01,  1.24725893e+00,  9.00946952e-01,  4.91888427e+00,  5.05280435e-03,  4.41014359e+01,  1.11640485e+02,  1.15284810e+00
  1.00166362e+00,  1.09355195e+00,  7.40584668e-01,  7.11695463e-01,  4.78940667e+00,  5.76048166e-03,  4.16109697e+01,  1.15148592e+02,  1.15910447e+00
  1.04356170e+00,  7.82663349e-01,  1.28626187e+00,  9.07182393e-01,  4.93806765e+00,  4.92928019e-03,  4.42927053e+01,  1.11502607e+02,  1.15278091e+00
  7.16103226e-01,  7.14708627e-01,  1.04908616e+00,  2.12361098e-01,  5.02555785e+00,  3.09069497e-03,  3.87011824e+01,  1.31887570e+02,  1.19085651e+00
  1.01629732e+00,  1.26433193e+00,  7.02331350e-01,  7.58428440e-01,  4.75416947e+00,  6.01867930e-03,  4.17950457e+01,  1.14407282e+02,  1.15713538e+00
  7.07642450e-01,  9.32731133e-01,  1.29043805e+00,  2.39028085e-01,  5.05560485e+00,  2.44298852e-03,  4.18701423e+01,  1.29740967e+02,  1.18172921e+00
  9.19477042e-01,  1.23884701e+00,  1.25578240e+00,  6.25810635e-01,  4.88225431e+00,  4.77671158e-03,  4.25778993e+01,  1.16540106e+02,  1.16020241e+00
  9.64987732e-01,  7.42555052e-01,  7.21824726e-01,  5.84889268e-01,  4.85245292e+00,  5.22540093e-03,  4.08889097e+01,  1.17614268e+02,  1.16491736e+00
