# a, b, af, bf, as, bs, afs, bfs, alfa1, beta1, alfa2, beta2, vol, fibstretch 
1.35731384e+02,  6.21037810e+00,  9.25633732e+01,  1.32458282e+01,  3.27327874e+02,  5.30079292e+00,  4.69349476e+02,  1.44622351e+01,  1.31204947e+00,  4.51351492e+00,  8.23568650e-03,  4.40508772e+01,  1.07747882e+02,  1.14019882e+00
1.23613526e+02,  4.88705924e+00,  1.37241934e+02,  1.36075419e+01,  3.86056198e+02,  3.73784599e+00,  3.12322668e+02,  1.17785911e+01,  9.71356198e-01,  4.24050699e+00,  8.74499671e-03,  4.08566621e+01,  1.12586555e+02,  1.15016412e+00
1.56453051e+02,  6.33889393e+00,  1.37167488e+02,  8.67792029e+00,  2.64001360e+02,  6.05178019e+00,  3.71606748e+02,  8.97546827e+00,  1.29580869e+00,  4.33458951e+00,  9.19500087e-03,  4.35801207e+01,  1.08288920e+02,  1.13901968e+00
1.70245225e+02,  4.20572650e+00,  1.30920286e+02,  1.30418673e+01,  4.33185553e+02,  5.59321312e+00,  3.43494784e+02,  1.26174592e+01,  1.25463081e+00,  4.29684468e+00,  7.93518388e-03,  4.41707865e+01,  1.08731323e+02,  1.14054963e+00
1.70967497e+02,  6.64124598e+00,  1.41288970e+02,  9.47821722e+00,  3.16688957e+02,  4.21218556e+00,  5.19173329e+02,  9.33236047e+00,  1.44500573e+00,  4.17003715e+00,  1.27297544e-02,  4.10819449e+01,  1.07135198e+02,  1.13902026e+00
1.07466997e+02,  6.29233321e+00,  1.26446545e+02,  8.44798044e+00,  3.71472192e+02,  6.69503559e+00,  3.26130017e+02,  1.44742070e+01,  1.16034562e+00,  4.51934529e+00,  6.94543213e-03,  4.53756365e+01,  1.09338778e+02,  1.14019888e+00
1.09811606e+02,  7.44519416e+00,  8.56520174e+01,  1.32201594e+01,  3.95427876e+02,  5.12451201e+00,  3.45752990e+02,  1.16894990e+01,  1.57224244e+00,  4.66356818e+00,  7.21422606e-03,  4.61899698e+01,  1.05289266e+02,  1.13662715e+00
1.51382132e+02,  7.08275205e+00,  1.22182513e+02,  9.66192865e+00,  2.79957350e+02,  5.41851567e+00,  3.56662602e+02,  1.31741184e+01,  1.53501218e+00,  4.43647402e+00,  9.27776094e-03,  4.44312700e+01,  1.05898040e+02,  1.13598702e+00
1.57967870e+02,  7.38956020e+00,  1.06222754e+02,  8.84931889e+00,  3.79276843e+02,  5.78690324e+00,  4.55459405e+02,  1.26521012e+01,  1.77009080e+00,  4.34877435e+00,  1.02567648e-02,  4.48537042e+01,  1.04211901e+02,  1.13209996e+00
1.16685686e+02,  4.59832652e+00,  1.25593202e+02,  1.14394479e+01,  4.12730423e+02,  5.86572139e+00,  3.43700410e+02,  1.06762123e+01,  1.04999471e+00,  4.55140607e+00,  5.85355707e-03,  4.56002933e+01,  1.10538387e+02,  1.14354953e+00
1.94132638e+02,  4.91672083e+00,  1.24728339e+02,  1.36313417e+01,  3.66511045e+02,  5.23858959e+00,  4.52706808e+02,  9.31090663e+00,  1.35201960e+00,  4.16142373e+00,  1.05516083e-02,  4.21882787e+01,  1.08015851e+02,  1.13995083e+00
1.59092365e+02,  5.26342956e+00,  1.34288713e+02,  1.43430214e+01,  3.53806172e+02,  5.08551350e+00,  3.91689444e+02,  9.64390232e+00,  1.34451293e+00,  4.30616581e+00,  8.79305725e-03,  4.36652842e+01,  1.07804761e+02,  1.13969795e+00
1.85553792e+02,  4.56639841e+00,  1.18323999e+02,  1.07723172e+01,  3.80516246e+02,  6.45110962e+00,  3.70319548e+02,  9.02142195e+00,  1.20504132e+00,  4.27750384e+00,  8.46632521e-03,  4.36423832e+01,  1.09339753e+02,  1.14073833e+00
1.28655210e+02,  7.01769666e+00,  1.51341636e+02,  1.23373001e+01,  4.49793381e+02,  5.85646423e+00,  3.01945929e+02,  1.12936149e+01,  1.82070805e+00,  4.35002532e+00,  8.72623437e-03,  4.63801507e+01,  1.03845322e+02,  1.13134542e+00
1.16320307e+02,  4.73345822e+00,  1.25910735e+02,  1.17882335e+01,  4.27249185e+02,  6.31716317e+00,  3.64440807e+02,  9.94382803e+00,  1.17123222e+00,  4.58860156e+00,  5.66653352e-03,  4.68307026e+01,  1.09013451e+02,  1.14032081e+00
1.85760069e+02,  4.74339859e+00,  1.33608928e+02,  1.34626772e+01,  4.74526853e+02,  4.00063102e+00,  3.75006035e+02,  1.42579084e+01,  1.25398497e+00,  3.90393883e+00,  1.34965036e-02,  3.91236835e+01,  1.09769210e+02,  1.14450965e+00
1.13450978e+02,  6.97286040e+00,  1.46652123e+02,  1.51863781e+01,  3.44977873e+02,  4.34198131e+00,  4.06929595e+02,  1.10614588e+01,  1.54695318e+00,  4.49275844e+00,  8.40360474e-03,  4.49053499e+01,  1.05706152e+02,  1.13687752e+00
1.31429029e+02,  4.57251583e+00,  1.42119171e+02,  1.30734287e+01,  2.65221164e+02,  4.22324363e+00,  3.19552843e+02,  1.45648005e+01,  8.41268285e-01,  4.46084679e+00,  6.93974282e-03,  4.21741395e+01,  1.13897742e+02,  1.15140574e+00
1.51771488e+02,  4.76937854e+00,  8.62181394e+01,  9.83505322e+00,  2.77031539e+02,  6.70120410e+00,  4.71313270e+02,  1.03997958e+01,  9.01755653e-01,  4.60611904e+00,  6.52167770e-03,  4.40048009e+01,  1.12430580e+02,  1.14634419e+00
