# a, b, af, bf, alfa1, beta1, alfa2, beta2, vol, fibstretch 
  1.62991914e+02,  4.86494575e+00,  8.88042555e+01,  1.52997619e+01,  5.11073641e-01,  4.70040981e+00,  5.10682663e-03,  4.00597780e+01,  1.20264533e+02,  1.16907871e+00
  1.19270975e+02,  7.13857938e+00,  1.36171635e+02,  8.79271710e+00,  9.17614790e-01,  5.20690737e+00,  4.05511090e-03,  4.64255084e+01,  1.10704144e+02,  1.15016768e+00
  1.17785898e+02,  5.09090463e+00,  1.04859469e+02,  1.33271350e+01,  3.89099954e-01,  5.02755249e+00,  3.79037084e-03,  4.10278638e+01,  1.22553229e+02,  1.17333768e+00
  1.92062854e+02,  7.40823613e+00,  1.17271618e+02,  1.41532739e+01,  1.71430904e+00,  4.80380065e+00,  6.28133076e-03,  4.71683168e+01,  1.04160384e+02,  1.13700368e+00
  1.49984819e+02,  4.69913880e+00,  8.67798387e+01,  9.47699891e+00,  3.66713345e-01,  4.64335589e+00,  5.99275537e-03,  3.65985887e+01,  1.25826894e+02,  1.18144456e+00
  1.55681941e+02,  7.30638470e+00,  1.07503234e+02,  1.51146507e+01,  1.38636770e+00,  5.05507151e+00,  4.78433836e-03,  4.77473960e+01,  1.06256476e+02,  1.14172478e+00
  1.64320944e+02,  4.70391833e+00,  9.08935602e+01,  1.29456957e+01,  4.51679578e-01,  4.61589344e+00,  5.84920815e-03,  3.80903897e+01,  1.22639197e+02,  1.17440919e+00
  1.67703640e+02,  7.35310902e+00,  1.48611579e+02,  1.08117533e+01,  1.44357070e+00,  4.87286836e+00,  5.80106316e-03,  4.67367935e+01,  1.06048800e+02,  1.14030903e+00
  1.17442847e+02,  5.14817276e+00,  1.24631774e+02,  9.04899086e+00,  3.65310849e-01,  4.90981409e+00,  4.77646589e-03,  3.88187314e+01,  1.24172078e+02,  1.17712379e+00
  1.91734528e+02,  6.75664765e+00,  1.29703150e+02,  1.00394679e+01,  1.26369327e+00,  4.65573298e+00,  6.92780044e-03,  4.41737239e+01,  1.08004464e+02,  1.14441790e+00
